1,GxC Damascus,SF4-solo
2,NTSC Abdess,SF4-solo
3,Shadow San,SF4-solo
4,Sonic San,SF4-solo
5,Onigiri,SF4-solo
6,GabDeLioncourt,SF4-solo
7,RaGe Lachome,SF4-solo
8,N.A RaGe Solidjin,SF4-solo
9,LaDOSE Kiouze,SF4-solo
10,StarNab,SF4-solo
11,NTSC Kenshiro,SF4-solo
12,Vsftv Dhrus,SF4-solo
13,khao,SF4-solo
14,Oras,SF4-solo
15,Tbaggi,SF4-solo
16,Shins,SF4-solo
17,ultrayox,SF4-solo
18,FRugANZy,SF4-solo
19,Sof | Yen,SF4-solo
20,RnK Werrio,SF4-solo
21,GerardPerfect,SF4-solo
22,BeatBy38 | Ako,SF4-solo
23,Malé,SF4-solo
24,GL Zeir0w,SF4-solo
25,Pendrago,SF4-solo
26,Neo Arcadia Mr Joker,SF4-solo
27,MaD Starlette,SF4-solo
28,Binlard,SF4-solo
29,Bipbop,SF4-solo
30,LaDOSE Richiro,SF4-solo
31,HollyBull,SF4-solo
32,JohnnyZizou,SF4-solo
33,Ninjardin,SF4-solo
34,TSS Atma,SF4-solo
35,Chymer,SF4-solo
36,Catapulte,SF4-solo
37,CentaureBidet,SF4-solo
38,Daochen,SF4-solo
39,James,SF4-solo
40,Aisu,SF4-solo
41,GankutsuLL,SF4-solo
42,FFC So13,SF4-solo
43,chobolt,SF4-solo
44,shinoda,SF4-solo
45,KFR Renegad,SF4-solo
46,KFR Perplex,SF4-solo
47,mistermv,SF4-solo
48,Flouzzz,SF4-solo
49,HT FamousFlo,SF4-solo
50,HT SeiyaSeiKen,SF4-solo
51,Hynkel,SF4-solo
52,CDV.MCZ.Will2Pac,SF4-solo
53,Wyldus,SF4-solo
54,Yapa,SF4-solo
55,Kazend,SF4-solo
56,KintoKi69,SF4-solo
57,Gummer,SF4-solo
58,Opok,SF4-solo
59,Taunter,SF4-solo
60,zgladiator,SF4-solo
61,NWA54,SF4-solo
62,zchipp974,SF4-solo
63,gits23,SF4-solo
64,AssertTrue,SF4-solo
65,A-LX,SF4-solo
66,Bobby,SF4-solo
